protein	blank	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate
A0A011QK89	1215	2915	4028	13355	677	626	219
A0A077SBA9	1720	2913	5016	4682	1026	552	271
A0A090SY56	1407	3248	4076	1126	720	598	661
A0A0B2PSV8	1132	4072	5415	1023	640	337	647
A0A0D6I3R9	1746	3105	6289	1762	1008	390	1007
A0A0H2LZ12	1430	2449	3047	1367	1254	266	637
A0A0J1FVG5	796	2036	4209	884	629	45	597
A0A0K2AU21	827	1460	4208	756	481	-175	260
A0A0P7Z009	1466	1891	1771	-150	376	61	159
A0A0R3K2G2	5006	4088	5921	1140	2237	566	899
A0A0U5NXR6	1342	2377	4279	746	968	150	397
A0A0U6K8E5	759	1321	3473	9991	602	-166	269
B8MKR3	1952	10904	11403	4114	7772	713	1807
B8MMC0	1308	2108	3849	1100	593	-44	580
B9NTK7	1276	1811	4593	1228	734	-140	655
C2K1F0	934	3224	56043	1511	11865	128	1768
D1A2X8	1016	2205	3036	898	512	-68	447
D8N7C7	811	1571	3244	830	586	-246	356
E6SCX5	620	1465	22247	1311	18166	-212	18265
F6CI10	1855	2688	2892	1642	1170	110	1232
F9UTP6	836	1244	3436	864	736	-290	472
F9Y7M7	500	1076	2375	554	308	-271	220
G0AHZ0	918	1705	3900	1050	660	-303	512
I7HM50	740	1121	2164	459	598	173	447
M7MTF7	615	1067	3697	708	584	-207	443
Q15TJ7	1072	1408	3564	823	857	-354	441
Q5FIR1	983	1591	2351	882	521	-158	495
Q5WFZ3	779	1104	2436	648	417	-398	236
Q92NB8	642	1564	2789	908	484	-310	295
R0EVG9	515	837	2279	39920	524	-460	188
S2DJ52	452	1133	2499	20412	554	-387	269
U2ENB5	1004	1739	4948	1215	821	-251	627
V6AP96	800	1165	2019	911	472	-312	271
W6I5R7	930	2517	3124	1126	596	-135	536
A0A021XIZ9	580	2601	2705	1390	480	-131	433
A0A0N7HBH8	919	1233	2889	607	337	-348	317
I4H4C1	996	1293	3039	856	533	-326	509
M5FIH9	1088	1765	4116	950	488	-178	477
Q6L2S1	940	1184	3357	788	568	-432	345
X8B5I2	772	1623	3308	846	590	-267	476
BSA_control	947	1432	3701	946	649	-306	544
no_protein	0	0	0	0	0	0	0
A0A011QK89	1060	3548	3994	14603	499	801	321
A0A077SBA9	1429	3413	4678	4511	947	768	100
A0A090SY56	1417	4032	4231	1491	630	760	500
A0A0B2PSV8	1012	4266	5290	1616	534	792	565
A0A0D6I3R9	1872	3542	6508	1848	1050	768	939
A0A0H2LZ12	1296	2969	3091	1560	1212	508	607
A0A0J1FVG5	895	2402	3883	1263	503	317	511
A0A0K2AU21	791	1941	4462	1189	448	-90	243
A0A0P7Z009	949	2222	2106	1932	235	182	-109
A0A0R3K2G2	3792	3782	5130	6365	1679	773	512
A0A0U5NXR6	1611	3020	4364	1961	850	338	196
A0A0U6K8E5	677	1737	3164	11857	386	-115	109
B8MKR3	1721	11125	11782	6353	7088	976	1539
B8MMC0	944	2637	3835	1265	535	108	515
B9NTK7	1117	2229	4320	1452	586	153	516
C2K1F0	733	3669	57382	1768	10474	432	1323
D1A2X8	669	2782	3006	1115	383	72	283
D8N7C7	868	1989	3208	1019	519	-98	285
E6SCX5	679	2008	22427	1603	19655	-2	21189
F6CI10	1601	3337	2374	2392	972	330	1019
F9UTP6	881	1645	3599	999	610	-184	507
F9Y7M7	543	1552	2368	751	187	-110	104
G0AHZ0	889	2196	3896	1364	508	-30	364
I7HM50	455	1652	1539	995	408	-270	199
M7MTF7	583	1788	3002	1080	362	-100	264
Q15TJ7	553	1877	3583	940	686	-236	299
Q5FIR1	789	2037	2508	1152	399	-28	405
Q5WFZ3	521	1558	2536	805	315	-319	148
Q92NB8	753	2008	3407	841	400	-203	313
R0EVG9	488	1145	2383	44113	450	-314	100
S2DJ52	675	1468	3174	20941	624	-288	159
U2ENB5	952	2166	5410	1417	732	-54	561
V6AP96	885	1538	2723	835	428	-118	336
W6I5R7	1045	2973	3946	1092	619	129	516
A0A021XIZ9	896	2781	3172	1451	534	36	412
A0A0N7HBH8	615	1632	3268	871	323	-282	212
I4H4C1	733	1768	3018	1121	498	-219	467
M5FIH9	844	2093	4242	1191	506	-95	444
Q6L2S1	869	1656	2855	1036	700	-351	389
X8B5I2	755	2282	3635	1099	592	-164	367
BSA_control	587	1744	4172	1335	638	-170	461
no_protein	0	0	0	0	0	0	0
A0A011QK89	933	3277	3896	14034	503	826	1342
A0A077SBA9	1372	3129	4717	4495	808	724	1330
A0A090SY56	1018	3692	4229	1479	549	570	921
A0A0B2PSV8	1061	4544	5132	1415	436	687	888
A0A0D6I3R9	1449	3340	6405	2042	945	442	1032
A0A0H2LZ12	1361	2720	3227	1679	1176	343	729
A0A0J1FVG5	837	2299	4319	991	468	92	609
A0A0K2AU21	737	1712	4235	1038	321	-210	470
A0A0P7Z009	1189	1807	1915	1178	-71	139	-283
A0A0R3K2G2	4214	3156	5372	4392	1597	482	1434
A0A0U5NXR6	1449	2605	4027	1450	665	143	698
A0A0U6K8E5	748	1677	3700	10259	368	-118	549
B8MKR3	1645	10683	11619	5496	7233	864	2588
B8MMC0	977	2504	3940	1104	416	0	593
B9NTK7	1054	2043	4712	1411	536	-100	637
C2K1F0	844	4007	54503	1592	10823	244	1844
D1A2X8	778	2241	3372	867	444	-9	448
D8N7C7	862	1737	3189	978	400	-213	445
E6SCX5	673	1897	20020	1496	17379	-105	24052
F6CI10	2016	2595	2573	1986	1056	146	1389
F9UTP6	805	1328	3484	1002	413	-289	610
F9Y7M7	433	1345	2236	598	191	-309	228
G0AHZ0	829	1832	4107	1160	436	-202	553
I7HM50	698	1336	2115	618	456	-49	560
M7MTF7	528	1455	3588	778	421	-210	496
Q15TJ7	637	1611	3604	951	779	-293	421
Q5FIR1	754	1787	2476	1038	279	-124	620
Q5WFZ3	588	1377	2409	846	267	-358	249
Q92NB8	506	1792	2865	971	269	-214	353
R0EVG9	378	843	2140	36992	205	-429	145
S2DJ52	442	1260	2791	20452	261	-357	213
U2ENB5	864	2025	4755	1351	729	-182	570
V6AP96	658	1420	2139	1031	332	-268	276
W6I5R7	918	2601	3375	1300	532	-24	556
A0A021XIZ9	610	2677	2640	1434	360	-96	570
A0A0N7HBH8	588	1469	3151	752	235	-312	316
I4H4C1	886	1599	2977	1140	420	-278	480
M5FIH9	902	1761	3932	1095	395	-56	565
Q6L2S1	710	1381	2844	1214	597	-378	464
X8B5I2	573	1799	2968	1199	425	-225	532
BSA_control	888	1547	3675	1274	471	-286	566
no_protein	0	0	0	0	0	0	0
