protein	blank	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate
A0A077SBA9	469	2022	2945	3257	144	-126	428
A0A090SY56	567	2322	2338	557	280	-1	341
A0A0B2PSV8	697	2751	3926	781	324	126	514
A0A0D6I3R9	603	1932	3276	877	390	-161	540
A0A0H2LZ12	651	1707	1761	768	506	-180	422
A0A0P7Z009	837	1751	2076	577	145	-201	482
A0A0R3K2G2	3168	3568	5349	2076	1446	374	1838
B8MKR3	609	8960	8298	5353	4489	68	1662
B8MMC0	468	1251	2645	446	33	-388	256
B9NTK7	339	962	3214	242	-156	-550	280
C2K1F0	313	2459	46470	950	7237	-125	916
D1A2X8	369	1472	2644	462	10	-337	320
E6SCX5	1169	3667	20906	1822	19205	212	22468
F6CI10	735	1175	1577	473	170	-438	476
F9UTP6	345	1576	2436	754	264	-346	521
F9Y7M7	231	1223	1838	245	26	-289	218
M7MTF7	661	2230	3177	680	528	-142	501
Q0I8G2	872	2132	4798	797	430	-193	697
Q15TJ7	329	1471	1924	701	178	-249	184
Q5FIR1	887	1887	1909	562	49	-329	302
Q5WFZ3	185	1491	1920	490	-2	-360	224
Q92NB8	525	2248	2860	606	37	-161	280
R0EVG9	380	1071	2401	32773	74	-466	244
S2DJ52	359	1488	2225	16812	133	-378	248
U2ENB5	821	2140	3841	1042	478	-248	497
V6AP96	581	1628	1753	621	-20	-276	284
W6I5R7	587	1812	2220	492	121	-338	246
A0A021XIZ9	696	2232	2533	1082	144	-192	397
A0A0N7HBH8	467	1386	2492	548	-4	-378	210
Q6L2S1	475	1463	2189	493	108	-314	252
BSA_control	377	1507	2204	773	117	-353	194
no_protein	0	0	0	0	0	0	0
A0A077SBA9	588	1532	2776	3449	159	-168	304
A0A090SY56	520	2069	2149	775	199	-168	257
A0A0B2PSV8	710	2753	3186	929	260	125	392
A0A0D6I3R9	842	1588	3754	840	427	-156	324
A0A0H2LZ12	715	1397	2084	721	475	-96	243
A0A0P7Z009	552	1536	2328	547	99	-171	272
A0A0R3K2G2	1694	3408	4733	2560	735	657	1004
B8MKR3	1338	7192	9749	3565	6072	-127	2372
B8MMC0	426	1004	2157	576	22	-413	168
B9NTK7	186	756	2937	437	-165	-436	19
C2K1F0	490	1993	46002	929	6964	-196	771
D1A2X8	336	1261	2413	508	-33	-443	101
E6SCX5	956	3233	21774	1648	17338	143	17165
F6CI10	387	1532	1210	709	47	-487	151
F9UTP6	528	1245	2718	715	247	-315	352
F9Y7M7	170	972	1658	400	24	-296	33
M7MTF7	491	1852	2684	935	327	-345	329
Q0I8G2	699	1890	4237	1233	239	-261	344
Q15TJ7	558	1544	2510	573	508	-93	277
Q5FIR1	604	1629	1954	659	51	-367	168
Q5WFZ3	531	1334	2180	468	120	-455	111
Q92NB8	575	1894	2793	709	38	-315	193
R0EVG9	595	812	2650	32177	170	-440	103
S2DJ52	492	1157	2480	17844	166	-309	155
U2ENB5	1066	1688	4132	924	456	-200	365
V6AP96	662	1204	2209	503	35	-328	227
W6I5R7	604	1461	2329	635	160	-387	160
A0A021XIZ9	836	2017	2456	1005	244	-269	259
A0A0N7HBH8	456	1368	2364	588	15	-424	137
Q6L2S1	607	1830	2436	620	195	-233	115
BSA_control	706	1342	2618	553	231	-349	201
no_protein	0	0	0	0	0	0	0
A0A077SBA9	454	1832	2556	3132	198	-368	474
A0A090SY56	399	2002	2247	604	320	-43	516
A0A0B2PSV8	490	2879	3489	816	282	227	634
A0A0D6I3R9	671	1850	3317	912	400	-183	677
A0A0H2LZ12	440	1522	1627	837	570	-147	396
A0A0P7Z009	315	1698	1921	549	238	-157	372
A0A0R3K2G2	2374	2738	4447	2250	1641	149	1577
B8MKR3	807	8490	7843	5152	5258	20	1360
B8MMC0	310	1242	2299	633	134	-441	364
B9NTK7	150	892	2889	429	-31	-621	338
C2K1F0	212	2156	46060	1168	7840	-129	1052
D1A2X8	284	1208	2256	500	125	-341	333
E6SCX5	992	3608	19563	1844	18901	295	16196
F6CI10	639	846	1299	445	248	-183	461
F9UTP6	312	1398	2407	884	336	-440	432
F9Y7M7	164	1250	1537	518	90	-420	266
M7MTF7	748	2055	2777	741	578	-223	518
Q0I8G2	856	2066	4629	1073	552	-245	640
Q15TJ7	343	1480	1541	833	489	-385	306
Q5FIR1	428	1758	1623	589	234	-413	376
Q5WFZ3	287	1343	1553	612	157	-555	326
Q92NB8	462	2120	2784	760	98	-247	400
R0EVG9	326	1055	2523	32830	264	-531	385
S2DJ52	279	1570	2141	19396	189	-432	337
U2ENB5	703	2163	3471	1105	370	-280	597
V6AP96	431	1756	1589	580	382	-399	348
W6I5R7	386	1662	2007	633	188	-425	457
A0A021XIZ9	562	2231	2096	1208	246	-235	452
A0A0N7HBH8	295	1428	2455	649	257	-444	344
Q6L2S1	323	1770	1797	676	14	-332	338
BSA_control	328	1535	2048	774	277	-416	350
no_protein	0	0	0	0	0	0	0
