protein	blank	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate
A0A0P7WDX3	1102.5	4982	3229	1488.5	953	1497.5	838.5
A0A0P7WDX3	1071.5	4575	3386.5	1415	925	1400	798
A0A0P7WDX3	1409.5	4635.5	3232	1125.5	912	1459	1115.5
U4PUB6	1227.5	7319	5424	1389.5	898	1983.5	934.5
U4PUB6	1128.5	7658	5606.5	1812	894	1688	878
U4PUB6	1293.5	6885.5	5675	1305.5	1020	1660	1470.5
B9S0Y9	1032.5	118222	68910	1305.5	95317	2471.5	893.5
B9S0Y9	1054.5	125863	73604.5	1463	92667	2729	1259
B9S0Y9	1275.5	123459.5	72093	1233.5	91629	2759	933.5
A9QH69	955.5	63887	115106	2115.5		23449.5	2030.5
A9QH69	1055.5	65902	119092.5	2088	115749	20743	2027
A9QH69	1089.5	61983.5	118615	2185.5	116869	25673	2866.5
A4YVE0	1127.5	6727	78798	7992.5	8208	2603.5	7919.5
A4YVE0	1159.5	6955	13094.5	11343	8797	2152	7134
A4YVE0	1235.5	7785.5	9920	7759.5	7886	2233	9894.5
F4G5A4	1054.5	5566	8978	1401.5	818	1862.5	765.5
F4G5A4	916.5	4886	8018.5	1654	794	1595	741
F4G5A4	1089.5	5619.5	7313	1230.5	784	1391	1337.5
A0A0A8UQ43	863.5	7328	3288	1032.5	698	1541.5	13363.5
A0A0A8UQ43	783.5	7688	3580.5	1202	623	1255	12386
A0A0A8UQ43	963.5	7539.5	3631	949.5	810	1271	12955.5
A0A087D1R1	906.5	9892	4985	111701.5	103830	2166.5	6827.5
A0A087D1R1	794.5	8871	6746.5	116716	104533	1849	7037
A0A087D1R1	963.5	7683.5	5691	101501.5	99449	1865	7766.5
C0XIJ3	724.5	4674	5196	1520.5	736	1433.5	773.5
C0XIJ3	828.5	4802	5136.5	1198	613	1303	570
C0XIJ3	983.5	5443.5	5073	1034.5	684	1201	786.5
B1HZY7	1432.5	7835	25520	13271.5	115977	37325.5	105319.5
B1HZY7	1166.5	6907	25390.5	16240	114813	35083	101485
B1HZY7	1431.5	7587.5	25795	13555.5	116521	38315	111843.5
C9Y9E7	1280.5	37299	95426	22695.5	87754	32467.5	88857.5
C9Y9E7	787.5	35831	89682.5	29623	86145	24680	89281
C9Y9E7	1086.5	36478.5	77168	22386.5	81844	32508	79173.5
I7IZ16	1326.5	6766	3701	1329.5	1154	2181.5	1169.5
I7IZ16	1179.5	6556	3696.5	1308	1014	1961	1111
I7IZ16	1475.5	6961.5	3937	1154.5	1190	1825	1571.5
B7QAT8	1403.5	5339	5213	1677.5	1296	1790.5	1381.5
B7QAT8	1440.5	5219	5142.5	1896	1074	1575	1103
B7QAT8	1667.5	5161.5	5305	1474.5	1198	1525	1442.5
B7RR92	436.5	3464	4965	567.5	494	1129.5	379.5
B7RR92	688.5	3423	5670.5	586	475	945	222
B7RR92	1151.5	3678.5	5804	397.5	469	873	387.5
A0A0D6UPR3	1595.5	4055	6470	1485.5	1233	2039.5	1429.5
A0A0D6UPR3	1494.5	4083	7095.5	1558	1146	1791	1138
A0A0D6UPR3	1734.5	4726.5	6399	1231.5	1189	1625	1354.5
Q0K750	680.5	1366	3420	617.5	482	701.5	391.5
Q0K750	686.5	1128	3616.5	820	450	488	306
Q0K750							
C4VMW0	1595.5	30512	127010	2467.5	123777	32745.5	21161.5
C4VMW0	1327.5	30367	133439.5	291	111878	32517	19397
C4VMW0	1486.5	32358.5	134889	2254.5	103342	33191	18814.5
W6W585	896.5	3139	2785	1221.5	7598	4885.5	7886.5
W6W585	816.5	3054	2804.5	1306	7714	4581	9669
W6W585	715.5	2707.5	3493	975.5		4725	
BSA_control	995.5	8022	3781	1279.5	1025	1713.5	1046.5
BSA_control	1066.5	7815	4291.5	1366	854	1459	893
BSA_control	1309.5	7827.5	3975	1199.5	993	1493	1138.5
no_protein	0	0	0	0	0	0	0
no_protein	0	0	0	0	0	0	0
no_protein	0	0	0	0	0	0	0
