protein	blank	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate
B7N6P4	667.5	1286	1641	57263.5	565	607.5	573.5
B7N6P4	639.5	1102	1808.5	51400	754	449	386
B7N6P4	935.5	1301.5	1857	51633.5	821	304	910.5
A0A0M7LBC1	1055.5	8590	5606	94888.5	86700	2279.5	4837.5
A0A0M7LBC1	999.5	7691	5814.5	95499	91807	2069	4561
A0A0M7LBC1	1094.5	8398.5	5488	101270.5	88564	1985	5310.5
A0A0U5JSS4	1498.5	3102	2517	1349.5	918	1617.5	867.5
A0A0U5JSS4	1430.5	3956	3284.5	1096	755	1316	698
A0A0U5JSS4	1445.5	2647.5	2423	1030.5	728	1912	89.5
A0A0J6V898	906.5	6550	4658	1211.5	794	1979.5	931.5
A0A0J6V898	850.5	6166	4104.5	935	590	1520	529
A0A0J6V898	927.5	5917.5	4651	967.5	768	1332	757.5
A0A0L6Z980	967.5	6031	3993	1217.5	994	2031.5	841.5
A0A0L6Z980	1223.5	5715	4000.5	1611	999	1927	899
A0A0L6Z980	1395.5	6207.5	4064	1401.5	1062	2000	1205.5
D4MUV9	790.5	5212	113636	1119.5	788	1515.5	595.5
D4MUV9	939.5	5064	110263.5	1123	649	1128	457
D4MUV9	965.5	5279.5	113760	957.5	764	1269	666.5
H0SIC1	1634.5	8278	5780	1415.5	918	2117.5	885.5
H0SIC1	1411.5	8950	5958.5	1699	830	2133	726
H0SIC1	1509.5	9055.5	5804	1338.5	884	1965	931.5
D4XIR1	1032.5	8592	4972	1167.5	982	1985.5	1065.5
D4XIR1	1303.5	7662	4644.5	1184	710	1733	671
D4XIR1	1418.5	7847.5	5180	885.5	805	1700	951.5
S7SZ03	1103.5	8855	4884	1325.5	754	2042.5	777.5
S7SZ03	1083.5	7715	5148.5	1070	758	1743	769
S7SZ03	1333.5	8750.5	6512	1183.5	673	1948	934.5
K0NHF1	1095.5	6886	3922	1236.5	922	1841.5	894.5
K0NHF1	1088.5	8010	3824.5	1470	725	1871	795
K0NHF1	1126.5	7958.5	3827	1181.5	882	1739	919.5
G6F8W6	1251.5	7818	3832	1325.5	848	2077.5	926.5
G6F8W6	832.5	8678	3218.5	884	722	1584	751
G6F8W6	1118.5	8927.5	3457	1035.5	724	1803	1222.5
A0A085FLP7	774.5	7546	3148	1220.5	733	1634.5	1091.5
A0A085FLP7	699.5	6698	1928.5	1182	551	1552	521
A0A085FLP7	933.5	6873.5	2920	859.5	658	1375	749.5
Q5WIP4	859.5	3062		1097.5	1382	1142.5	5382.5
Q5WIP4	670.5	2679		1091	1095	909	5873
Q5WIP4	845.5	3141.5		1119.5	1182	921	7311.5
D4N087	2171.5	9123		1659.5	2765	2699.5	1902.5
D4N087	1547.5	7535		2211	2263	2328	1553
D4N087	1847.5	7986.5	1905	1497.5	2178	2035	1991.5
K4LGZ0	1336.5	3303	4885	1552.5	929	1231.5	867.5
K4LGZ0	587.5	2727	4054.5	942	737	1083	783
K4LGZ0	871.5	3105.5	4804	991.5	718	895	1406.5
M4KHX7	1562.5	7718	4273	1672.5	1054	2129.5	1498.5
M4KHX7	1232.5	7347	3795.5	1272	962	1621	689
M4KHX7	1291.5	7529.5	3679	1161.5	838	1408	407.5
A0A073CBY9	1176.5	6768	4518	1135.5	816	1658.5	779.5
A0A073CBY9	1035.5	6896	4424.5	1338	686	1501	610
A0A073CBY9	1255.5	6897.5	4387	1035.5	748	1525	715.5
